web-scraper-order,USERNAME,RATING,REVIEW,TIME,COUNT THE PEOPLE WHO LIKED THE REVIEW
1743116909-1,Trianingsih I. L.,10.0,"will stay here next time, thank you!",2025-03-18,2
1743116909-2,G***e,5.9,"Overall, my stay at this hotel was quite disappointing. The biggest issue was cleanliness. At first glance, the room appeared decent, but that changed when I noticed yellowish-brown stains and strands of hair (from who knows whom) on the bedsheet. In the bathroom, I found an abandoned beer bottle—likely left by the previous guest. It didn’t stop there. In the shower area, I discovered several torn shampoo sachets left on the shelves where toiletries are usually placed. Given these issues, I had solid reasons for rating the cleanliness poorly.

Beyond cleanliness, the room itself was in bad shape. Some lights weren’t working, parts of the wallpaper were peeling, and the bathroom door lock was broken.

As for the hotel facilities, I didn’t opt for the breakfast package, but I did check out the breakfast area. The place had a strong cockroach-like smell, and I was relieved I hadn’t booked the package. The swimming pool looked decent, though I didn’t get the chance to try it. However, when I explored the first floor, I found the lighting was extremely poor—so bad that they hadn’t even bothered turning on the lights, making the area feel eerie and uninviting.

The WiFi was also disappointing, with a speed of only around 5 Mbps. I had to rely on my mobile data instead. The one saving grace was that the air conditioning worked fine.

Unfortunately, given all these issues, I won’t be staying here again.",2025-02-23,7
1743116909-4,wa,8.5,Staff friendly and comfort recommendations for you guys thanku,2025-02-09,1
1743116909-6,M***a,10.0,"the room was clean and the staff are friendly, im glad to coming here and stay for 5 night",2025-01-19,2
1743116909-7,S***n,6.5,Hotels need remodeling and renovation. Hygiene is a concern. Chef is vaping while in the kitchen. Kitchen area foments certain odor. AC area in the bedroom has molds. Hotels are missing a lot of amenities,2025-01-01,4
1743116909-8,Muhamad I.,9.7,"So far I like to stay to this hotel, recommended",2024-11-21,3
1743116909-9,Muhamad I.,9.7,"So far I like to stay to this hotel, recommended",2024-11-21,2
1743116909-10,KY,6.0,"The hotel is in a bad shape, it need some urgent renovation. Some of the room item are need to be replaced such as water boiler or bath tub table are in a bad shape. The staff is really friendly but the hotel itself need to be renovated as soon as possible. The location is in bypass, its hard to go around, need taxi or motor taxi to go around",2024-11-19,2
1743116909-11,K***l,6.1,I am sure this place used to be great but it seems like this hotel needs to have renovation / rejuvination. A lot of things looks a bit run down and old. The hotel location is on the highway so its almost impossible to walk around and you will need your own car / motorcycle,2024-11-13,3
1743116909-12,I***s,6.6,"Good price and location. Staff was friendly. Nice bathroom and beds, however there was a little opening in the glass panel which led to a lot of noise from the street coming in. Furthermore, the swimming pool was closed because of repairs, however this turned out to be untrue and apparently open. There was also only 1 elevator available. Location however was good, close to a mall and a Indomaret. Price was also good.",2024-10-15,2
1743116909-13,M***t,9.7,"Good option to stay in Bali. Clean, big, well designed. I stayed in Upper floor and it was more than good. I don't have any idea about Lower floor rooms because hotel lobby is at floor3 that is ground level.",2024-08-31,3
1743116909-14,Bayu N. S.,9.4,"Room position I guess, didn't expect that the bathroom window would face center open space which everyone could see from in front of their rooms.",2024-08-23,4
1743116909-15,K***k,8.5,"The room is generously sized, but its proximity to the road makes it quite noisy in the morning. The cleanliness of the room is commendable, and the bathroom is spacious. However, there are some areas that require attention, such as the discolored toilet seat and a leak from the ceiling shower when using the lower one. Additionally, there was no hand soap provided at the sink, so I had to purchase it separately. All in all, it's a comfortable place for the price point.",2024-08-06,3
1743116909-16,M***S,10.0,The staffs were very helpful and friendly.,2024-08-01,4
1743116909-17,F***y,8.3,"Nice stay, but water lil bit smelly.",2024-07-20,2
1743116909-18,D***l,8.2,Good but can be improved of the buildings maintenance as a whole appearance. Thanks.,2024-06-08,1
1743116909-19,N***m,10.0,All everything good food good room good and clean.,2024-05-27,4
1743116909-20,DS,8.7,Nice place but still needed repair at bath room.,2024-05-14,4
1743116909-22,Y***a,8.5,Cool and warm enough to bring kids,2024-03-07,4
1743116909-25,JL,8.3,"It is a nice hotel with a good swimming pool, although the hotel itself is a bit old (lack of maintenance).",2024-02-04,1
1743116909-26,O,5.7,"The room""s too dark & there are a lot of 🦟 not even open any outside door.",2024-01-29,4
